rank,edge_id,road_name,length_m,traffic_volume,mean_speed_kmh,waiting_per_sampled_s,timeLoss_per_sampled_s,mean_queue_length_m,max_queue_length_m,hotspot_score
148,-232874892#0,Jalan Penang,6.77,60,39.687,0.0,0.403,0.0,0.0,69.577
149,578842217#3,Jalan Kuala Kangsar,34.25,92,34.659,0.0,0.303,0.0,0.0,69.42
150,32079731#0,Jalan Pintal Tali,65.02,42,32.788,0.0,0.336,0.0,0.0,69.324
151,232874888#1,Jalan Sultan Ahmad Shah,8.19,452,59.515,0.0,0.398,0.0,0.0,69.312
152,714362123#0,Lebuh Kimberley,38.15,299,39.189,0.0,0.211,0.0,0.0,69.227
153,706923916#1,Lebuh Chulia,55.78,385,55.857,0.0,0.382,0.0,0.0,69.203
154,232874894#0,Jalan Penang,63.85,181,48.007,0.0,0.453,0.0,0.0,69.094
155,48737683#0,Lorong Seck Chuan,27.59,28,33.523,0.0,0.344,0.0,0.0,69.034
156,756622097,Lebuh Carnarvon,33.53,170,51.779,0.0,0.481,0.0,0.0,68.913
157,31250742#0,Lebuh Cannon,66.95,484,41.054,0.0,0.175,0.0,0.0,68.901
158,31249844#0,Lebuh Melayu,73.49,114,36.056,0.0,0.275,0.0,0.0,68.829
159,-572827187,Lebuhraya Merdeka,0.2,28,20.256,0.0,0.227,0.0,0.0,68.611
160,232874894#3,Jalan Penang,74.08,233,55.492,0.0,0.442,0.0,0.0,68.611
161,41594699,(unnamed),109.93,433,41.052,0.0,0.17,0.0,0.0,68.418
162,232874888#3,Jalan Sultan Ahmad Shah,21.68,512,61.798,0.0,0.375,0.0,0.0,68.394
163,179566164#1,Jalan Doktor Lim Chwee Leong,36.86,541,62.514,0.002,0.362,0.0,0.0,68.357
164,232874888#2,Jalan Sultan Ahmad Shah,0.2,452,61.46,0.0,0.378,0.0,0.0,68.225
165,168169936#0,Lebuh Acheh,121.72,250,39.951,0.01,0.197,0.122,7.45,68.2
166,-757095587,(unnamed),70.24,28,31.335,0.0,0.29,0.0,0.0,68.128
167,579074815,Pengkalan Weld,66.28,545,62.748,0.0,0.364,0.0,0.0,68.128
168,858726279#0,Gat Lebuh Melayu,42.32,391,41.111,0.0,0.17,0.0,0.0,67.971
169,32189366#1,Lebuh Buckingham,130.32,252,50.671,0.065,0.316,0.351,6.8,67.705
170,1079925969,Pengkalan Weld,32.52,274,59.402,0.0,0.398,0.0,0.0,67.669
171,747351267#2,Jalan Sri Bahari,105.75,262,41.483,0.055,0.158,0.088,5.37,67.44
172,1149179827,Pengkalan Weld,35.89,545,65.23,0.006,0.328,0.085,5.17,67.331
173,573603764,Lebuhraya Tun Doktor Lim Chong Eu,27.06,177,47.959,0.0,0.401,0.0,0.0,67.307
174,771557426,Pengkalan Weld,70.06,548,66.183,0.014,0.33,0.0,0.0,67.15
175,31250291#0,Lebuh Gereja,60.3,86,37.047,0.0,0.252,0.0,0.0,66.944
176,47855702#0,Lorong Love,39.05,68,36.763,0.0,0.261,0.0,0.0,66.944
177,-784800203,Jalan Masjid Kapitan Keling,62.61,180,56.236,0.0,0.442,0.0,0.0,66.908
178,979454439,Lebuh Kimberley,86.69,296,40.827,0.0,0.153,0.0,0.0,66.449
179,168175855#0,Lebuh Carnarvon,35.75,96,37.767,0.0,0.237,0.0,0.0,66.196
180,31249854#0,Lebuh Carnarvon,39.89,291,62.75,0.0,0.367,0.0,0.0,66.196
181,47855702#3,Lorong Love,58.13,68,37.242,0.0,0.251,0.0,0.0,66.159
182,179566164#2,Jalan Doktor Lim Chwee Leong,4.51,540,62.828,0.0,0.313,0.0,0.0,66.075
183,978918596#1,(unnamed),58.41,92,36.101,0.004,0.185,0.0,0.0,65.918
184,-168175854,Lebuh Carnarvon,58.66,63,34.974,0.0,0.225,0.0,0.0,65.833
185,978294684#1,Jalan Sultan Ahmad Shah,20.2,483,66.09,0.0,0.331,0.0,0.0,65.773
186,784330003#0,Lebuh Light,39.67,182,59.559,0.0,0.409,0.0,0.0,65.604
187,858724804#1,Lebuh Noordin,42.12,265,38.889,0.0,0.131,0.0,0.0,65.543
188,137903970#1,Lebuh Armenian,49.43,196,37.612,0.0,0.155,0.0,0.0,65.519
189,578842216,Lebuh Kimberley,127.14,144,38.977,0.01,0.178,0.0,0.0,65.495
190,760445561#6,Lebuh Victoria,144.94,257,54.675,0.0,0.314,0.0,0.0,65.495
191,168175855#3,Lebuh Carnarvon,70.67,96,37.104,0.0,0.193,0.0,0.0,65.471
192,1340566810,Pitt Street,8.75,330,49.101,0.0,0.242,0.0,0.0,65.423
193,979454448#0,Jalan Masjid Kapitan Keling,40.14,349,65.188,0.0,0.338,0.0,0.0,65.362
194,46906456#0,Lebuh Carnarvon,44.03,212,60.998,0.0,0.387,0.0,0.0,65.302
195,758391345#0,Gat Lebuh Maccallum,23.36,257,55.116,0.0,0.305,0.0,0.0,65.193
196,-761361242,Lebuh Leith,21.37,85,47.743,0.0,0.388,0.0,0.0,65.181
197,742645997,Jalan Sultan Ahmad Shah,85.12,256,60.404,0.0,0.349,0.0,0.0,65.072
198,31250820#0,Gat Lebuh Armenian,47.84,34,37.551,0.0,0.254,0.0,0.0,64.879
199,41657436#1,Jalan Masjid Kapitan Keling,0.2,181,58.389,0.0,0.393,0.0,0.0,64.867
200,579074817#0,Gat Jalan Magazine,50.66,40,54.173,0.0,0.455,0.0,0.0,64.867
201,784802555,Lebuh Carnarvon,37.74,106,58.364,0.0,0.416,0.0,0.0,64.65
202,264409109,Jalan Chowrasta,123.17,92,38.103,0.0,0.196,0.0,0.0,64.589
203,587789127#1,Lebuh Pantai,44.68,86,45.489,0.0,0.297,0.0,0.0,64.106
204,232871336,Gat Lebuh Chulia,27.45,43,56.571,0.0,0.443,0.0,0.0,63.973
205,1434761100#0,Lebuh Campbell,114.38,267,57.275,0.0,0.274,0.0,0.0,63.901
206,32189366#0,Lebuh Buckingham,38.02,280,57.263,0.0,0.257,0.0,0.0,63.72
207,714362126#3,Lebuh Carnarvon,95.76,261,66.088,0.0,0.338,0.0,0.0,63.72
208,46906456#4,Lebuh Carnarvon,79.77,212,59.704,0.0,0.331,0.0,0.0,63.671
209,762420639#1,Lebuh Victoria,44.16,249,56.449,0.0,0.291,0.0,0.0,63.659
210,137903943#2,Lebuh Leith,68.09,16,45.678,0.0,0.353,0.0,0.0,63.587
211,32079731#3,Jalan Pintal Tali,70.24,133,40.83,0.0,0.171,0.0,0.0,63.297
212,761361235,Jalan Penang,53.64,361,68.747,0.0,0.305,0.0,0.0,63.273
213,784822853,Pengkalan Weld,39.6,303,68.584,0.001,0.305,0.0,0.0,63.273
214,232874891#0,Jalan Sultan Ahmad Shah,53.24,767,72.844,0.0,0.264,0.0,0.0,63.261
215,-137931894#3,Lorong Chulia,31.45,215,42.537,0.0,0.145,0.0,0.0,63.176
216,31249858#0,Lebuh King,35.43,139,41.141,0.0,0.165,0.0,0.0,63.176
217,41593077#1,Jalan Doktor Lim Chwee Leong,99.37,729,72.285,0.0,0.259,0.0,0.0,63.08
218,714362126#4,Lebuh Carnarvon,24.8,260,67.817,0.0,0.321,0.0,0.0,62.705
219,65692233#0,Jalan Pintal Tali,42.71,133,41.232,0.0,0.162,0.0,0.0,62.572
220,23109528#0,Lebuh Farquhar,8.6,256,67.99,0.0,0.323,0.0,0.0,62.536
221,741719633,Lebuh Downing,13.32,86,60.913,0.0,0.385,0.0,0.0,62.476
222,31283701#3,Lebuh Pantai,11.81,386,61.574,0.0,0.22,0.0,0.0,62.428
223,747362364#1,Jalan Masjid Kapitan Keling,52.85,210,65.524,0.0,0.333,0.0,0.0,62.355
224,747362366#0,Lebuh Chulia,29.62,160,63.823,0.0,0.357,0.0,0.0,62.319
225,31250739#1,Lebuh Acheh,35.1,231,43.238,0.0,0.129,0.0,0.0,62.198
226,137931885#1,Lorong Pasar,22.0,266,44.371,0.0,0.109,0.0,0.0,62.162
227,757097127#1,Lorong Stewart,47.83,54,37.45,0.0,0.15,0.0,0.0,61.932
228,1383711614,Pengkalan Weld,0.2,182,55.483,0.0,0.256,0.0,0.0,61.739
229,137903943#1,Lebuh Leith,23.9,16,50.343,0.0,0.357,0.0,0.0,61.655
230,1432648580,Lebuh Armenian,106.19,196,43.212,0.0,0.127,0.0,0.0,61.655
231,776404701,Jalan C.Y. Choy,35.2,202,58.506,0.0,0.263,0.0,0.0,61.57
232,31249858#1,Lebuh King,71.47,139,39.976,0.0,0.124,0.0,0.0,61.546
233,31250668#1,Lebuh Leith,30.5,369,72.555,0.0,0.269,0.0,0.0,61.473
234,137931894#1,Lorong Chulia,56.45,54,38.292,0.0,0.154,0.0,0.0,61.389
235,31249844#2,Lebuh Melayu,202.71,114,41.956,0.004,0.133,0.0,0.0,61.28
236,1328105303#1,(unnamed),31.69,271,71.453,0.0,0.285,0.0,0.0,61.232
237,179745736#1,Jalan C.Y. Choy,28.22,202,56.784,0.0,0.245,0.0,0.0,61.147
238,579074818#0,Pengkalan Weld,51.8,768,76.325,0.0,0.227,0.0,0.0,60.833
239,23370415#1,Lebuh Cintra,83.81,210,43.081,0.0,0.103,0.0,0.0,60.785
240,23370339#0,Lebuh Campbell,126.47,384,63.942,0.0,0.184,0.0,0.0,60.64
241,182698218#0,Pengkalan Weld,77.88,183,68.71,0.0,0.315,0.0,0.0,60.604
242,232887452#1,Lebuh Pantai,25.72,86,56.201,0.0,0.291,0.0,0.0,60.483
243,160439703,Lebuh Pantai,119.5,548,65.294,0.0,0.153,0.0,0.0,60.447
244,65684838,Lebuh Carnarvon,40.47,43,61.425,0.0,0.356,0.0,0.0,60.048
245,714362123#3,Lebuh Kimberley,99.12,298,45.731,0.0,0.079,0.0,0.0,60.024
246,162360688#1,Jalan Penang,0.2,280,73.376,0.0,0.26,0.0,0.0,59.976
247,23109477,Lebuh Light,47.92,182,67.349,0.0,0.289,0.0,0.0,59.807
248,784330003#1,Lebuh Light,6.13,182,70.009,0.0,0.304,0.0,0.0,59.686
249,858724804#0,Lebuh Noordin,196.78,268,45.451,0.0,0.072,0.0,0.0,59.275
250,179591140#1,Jalan Magazine,75.53,396,76.667,0.0,0.228,0.0,0.0,59.227
251,714362123#1,Lebuh Kimberley,41.24,298,46.183,0.0,0.07,0.0,0.0,59.179
252,31250291#1,Lebuh Gereja,63.41,86,42.63,0.0,0.122,0.0,0.0,59.094
253,41657437,Jalan Masjid Kapitan Keling,48.45,181,70.857,0.0,0.297,0.0,0.0,59.01
254,579074818#1,Pengkalan Weld,5.95,768,72.429,0.0,0.146,0.0,0.0,58.961
255,747351286#2,Lebuh Victoria,61.87,43,52.08,0.0,0.26,0.0,0.0,58.961
256,747351267#0,Jalan Sri Bahari,41.57,262,45.648,0.0,0.074,0.0,0.0,58.901
257,979454434#0,Lebuh Gereja,126.87,86,43.301,0.0,0.125,0.0,0.0,58.853
258,65692233#2,Jalan Pintal Tali,45.13,133,43.907,0.0,0.108,0.0,0.0,58.768
259,-232874892#1,Jalan Penang,52.63,60,64.737,0.0,0.321,0.0,0.0,58.647
260,706923917#0,Lebuh Queen,95.14,21,41.977,0.0,0.149,0.0,0.0,58.623
261,275395207,Lebuh Muntri,41.57,85,43.48,0.0,0.126,0.0,0.0,58.599
262,232874892#2,Jalan Penang,47.7,314,76.485,0.0,0.227,0.0,0.0,58.551
263,46906456#1,Lebuh Carnarvon,21.51,212,73.359,0.0,0.263,0.0,0.0,58.297
264,137931885#2,Lorong Pasar,39.52,266,46.34,0.0,0.069,0.0,0.0,58.176
265,232874888#5,Jalan Sultan Ahmad Shah,71.66,512,79.124,0.0,0.199,0.0,0.0,58.068
266,232874892#6,Jalan Penang,36.98,314,74.696,0.0,0.209,0.0,0.0,58.068
267,23370339#1,Lebuh Campbell,118.98,339,66.693,0.0,0.133,0.0,0.0,57.681
268,747351267#1,Jalan Sri Bahari,58.75,262,46.114,0.0,0.065,0.0,0.0,57.512
269,573603769#0,Lebuhraya Tun Doktor Lim Chong Eu,99.18,633,70.361,0.0,0.106,0.0,0.0,57.452
270,1328105303#0,(unnamed),27.51,271,77.061,0.0,0.229,0.0,0.0,57.428
271,979454442#3,Jalan Argyll,120.05,264,66.554,0.0,0.156,0.0,0.0,57.403
272,137931885#3,Lorong Pasar,45.9,266,46.519,0.0,0.065,0.0,0.0,57.331
273,31249854#1,Lebuh Carnarvon,6.65,290,77.149,0.0,0.222,0.0,0.0,57.234
274,264409108#1,Jalan Kuala Kangsar,95.4,244,46.207,0.0,0.069,0.0,0.0,57.077
275,47657367#0,Lebuh Muntri,34.17,55,44.174,0.0,0.115,0.0,0.0,57.029
276,579261137#0,Lorong Love,81.35,69,44.692,0.0,0.1,0.0,0.0,56.341
277,31283701#0,Lebuh Pantai,70.23,386,69.953,0.0,0.114,0.0,0.0,56.329
278,23370415#0,Lebuh Cintra,21.56,211,46.245,0.0,0.066,0.0,0.0,56.304
279,160439701#1,Lebuh Pantai,120.69,273,67.722,0.0,0.126,0.0,0.0,56.147
280,978294682#0,Lebuh Light,30.8,182,76.009,0.0,0.246,0.0,0.0,56.123
281,706923917#1,Lebuh Queen,70.43,21,42.599,0.0,0.101,0.0,0.0,56.087
282,1309612330#0,Lebuh Presgrave,169.9,238,46.668,0.0,0.066,0.0,0.0,56.075
283,31283701#2,Lebuh Pantai,5.51,386,70.412,0.0,0.108,0.0,0.0,56.027
284,747351286#1,Lebuh Victoria,45.46,43,62.524,0.0,0.229,0.0,0.0,55.761
285,573603769#1,Lebuhraya Tun Doktor Lim Chong Eu,79.49,601,72.629,0.0,0.091,0.0,0.0,55.749
286,714361122,Pengkalan Weld,50.0,182,74.393,0.0,0.225,0.0,0.0,55.7
287,48737683#1,Lorong Seck Chuan,9.27,28,45.291,0.0,0.116,0.0,0.0,55.628
288,758391345#1,Gat Lebuh Maccallum,57.02,257,68.899,0.0,0.131,0.0,0.0,55.592
289,42746179,Jalan Sungai Ujong,159.58,211,46.387,0.0,0.063,0.0,0.0,55.459
290,23109528#9,Lebuh Farquhar,66.88,255,79.093,0.0,0.212,0.0,0.0,55.35
291,23109528#1,Lebuh Farquhar,55.41,256,79.208,0.0,0.211,0.0,0.0,55.229
292,23370415#2,Lebuh Cintra,55.3,117,46.144,0.0,0.075,0.0,0.0,55.169
293,160439693#1,Lebuh Pantai,50.77,548,72.67,0.0,0.08,0.0,0.0,55.012
294,579074817#1,Gat Jalan Magazine,30.2,40,71.949,0.0,0.277,0.0,0.0,54.964
295,232874893,Jalan Penang,39.82,280,81.6,0.0,0.176,0.0,0.0,54.964
296,32079731#1,Jalan Pintal Tali,36.6,42,44.66,0.0,0.095,0.0,0.0,54.952
297,31283701#1,Lebuh Pantai,14.37,386,71.96,0.0,0.089,0.0,0.0,54.396
298,232887452#2,Lebuh Pantai,19.55,86,65.674,0.0,0.171,0.0,0.0,54.384
