rank,edge_id,road_name,length_m,traffic_volume,mean_speed_kmh,waiting_per_sampled_s,timeLoss_per_sampled_s,mean_queue_length_m,max_queue_length_m,hotspot_score
362,-979454448#0,Jalan Masjid Kapitan Keling,40.14,181,91.729,0.0,0.09,0.0,0.0,45.604
363,607843788#1,Kampung Kolam,18.88,43,88.859,0.0,0.129,0.0,0.0,45.495
364,23109528#2,Lebuh Farquhar,50.65,256,93.728,0.0,0.067,0.0,0.0,45.447
365,267634032#1,Pengkalan Weld,58.44,138,89.414,0.0,0.091,0.0,0.0,45.423
366,232874894#2,Jalan Penang,44.95,89,89.399,0.0,0.103,0.0,0.0,45.386
367,784906019#1,Jalan Magazine,9.56,397,94.497,0.0,0.048,0.0,0.0,45.302
368,1086378765,Gat Lebuh Maccallum,78.97,199,76.856,0.0,0.037,0.0,0.0,45.278
369,760445561#4,Lebuh Victoria,10.34,9,74.47,0.0,0.084,0.0,0.0,45.205
370,758391344,(unnamed),42.85,199,76.882,0.0,0.036,0.0,0.0,45.036
371,-232874892#2,Jalan Penang,47.7,60,88.822,0.0,0.096,0.0,0.0,44.155
372,1148899870#3,Pengkalan Weld,81.02,139,92.241,0.0,0.075,0.0,0.0,44.155
373,1148897218#1,Pengkalan Weld,26.83,138,92.076,0.0,0.078,0.0,0.0,44.094
374,1118021472#1,Pengkalan Weld,138.37,184,93.56,0.0,0.067,0.0,0.0,44.046
375,23159566#0,Pesara King Edward,66.13,271,95.18,0.0,0.047,0.0,0.0,43.478
376,1148897218#2,Pengkalan Weld,9.8,138,93.066,0.0,0.069,0.0,0.0,43.309
377,183547138#0,Lebuh Farquhar,56.42,182,94.239,0.0,0.065,0.0,0.0,43.14
378,160439552,Kampung Kolam,57.16,43,92.029,0.0,0.098,0.0,0.0,42.899
379,842950909#1,Jalan Sultan Ahmad Shah,32.54,271,95.054,0.0,0.04,0.0,0.0,42.814
380,1148897218#3,Pengkalan Weld,7.84,138,93.434,0.0,0.065,0.0,0.0,42.524
381,747351265,Jalan Transfer,52.01,241,94.032,0.0,0.046,0.0,0.0,42.355
382,-761361247,Lebuh Leith,39.48,85,76.876,0.0,0.034,0.0,0.0,42.174
383,162194013#1,Lebuh Leith,9.08,85,76.881,0.0,0.034,0.0,0.0,41.993
384,-761361248,Lebuh Leith,16.39,85,76.929,0.0,0.034,0.0,0.0,41.932
385,-761361244,Lebuh Leith,28.65,85,76.957,0.0,0.033,0.0,0.0,41.751
386,183547138#1,Lebuh Farquhar,100.7,182,95.272,0.0,0.055,0.0,0.0,41.751
387,162194013#0,Lebuh Leith,29.5,85,77.018,0.0,0.033,0.0,0.0,41.57
388,1148897217,Pengkalan Weld,19.76,138,94.187,0.0,0.057,0.0,0.0,41.498
389,23109528#3,Lebuh Farquhar,1.77,255,96.247,0.0,0.041,0.0,0.0,41.461
390,1148899870#2,Pengkalan Weld,54.15,139,94.297,0.0,0.054,0.0,0.0,41.377
391,1148899870#1,Pengkalan Weld,80.95,139,94.399,0.0,0.053,0.0,0.0,41.196
392,23109528#8,Lebuh Farquhar,11.21,255,96.39,0.0,0.04,0.0,0.0,41.159
393,760445561#3,Lebuh Victoria,22.05,9,77.308,0.0,0.049,0.0,0.0,41.159
394,-761361246,Lebuh Leith,13.43,85,77.263,0.0,0.029,0.0,0.0,41.027
395,23109528#4,Lebuh Farquhar,13.85,255,96.805,0.0,0.036,0.0,0.0,40.857
396,1148899870#0,Pengkalan Weld,16.04,139,94.899,0.0,0.049,0.0,0.0,40.713
397,267634032#2,Pengkalan Weld,85.4,138,93.759,0.0,0.047,0.0,0.0,40.592
398,23109528#7,Lebuh Farquhar,19.29,255,97.112,0.0,0.033,0.0,0.0,40.314
399,714361124#1,Pengkalan Weld,31.99,138,95.037,0.0,0.048,0.0,0.0,40.29
400,23109528#6,Lebuh Farquhar,23.2,255,97.289,0.0,0.031,0.0,0.0,40.133
401,760445561#2,Lebuh Victoria,1.72,9,77.768,0.0,0.04,0.0,0.0,39.891
402,23109528#5,Lebuh Farquhar,73.05,255,97.403,0.0,0.03,0.0,0.0,39.831
403,1148899869,Pengkalan Weld,12.93,139,95.294,0.0,0.045,0.0,0.0,39.746
404,714361124#3,Pengkalan Weld,35.21,139,95.288,0.0,0.044,0.0,0.0,39.746
405,760445561#1,Lebuh Victoria,21.35,9,78.335,0.0,0.036,0.0,0.0,39.589
406,714361124#5,Pengkalan Weld,33.73,139,95.296,0.0,0.044,0.0,0.0,39.565
407,714361124#2,Pengkalan Weld,22.89,138,95.439,0.0,0.044,0.0,0.0,39.203
408,232874898#1,Pengkalan Weld,42.67,183,97.101,0.0,0.032,0.0,0.0,38.986
409,232874898#2,Pengkalan Weld,23.02,183,97.295,0.0,0.03,0.0,0.0,38.623
410,760445561#0,Lebuh Victoria,36.04,9,79.205,0.0,0.026,0.0,0.0,38.502
411,1118021473,(unnamed),52.25,87,95.209,0.0,0.04,0.0,0.0,38.333
412,607843788#0,Kampung Kolam,27.79,43,96.168,0.0,0.057,0.0,0.0,38.128
413,1118021471#1,(unnamed),5.78,87,95.99,0.0,0.033,0.0,0.0,37.246
414,607843787,Kampung Kolam,27.72,43,97.29,0.0,0.046,0.0,0.0,36.618
